"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Отправка сообщений в Discord","Отправка текстового сообщения с jpeg файлом, его проверка, удаление сообщения","0","0","6","0","0"
"","","Отправка большого сообщения","0","0","6","0","0"
"","","Негативный путь: добавление сообщений, неоднократное удаление, добавление реакции на удаленное сообщение","0","0","6","0","0"
"","","Отправка нескольких сообщений, с добавлением и удалением реакций с проверками","0","0","6","0","0"
